Effects	效果滤镜
ドリンク : ジョッキビール	᠎饮料：啤酒杯啤酒
その他 : メロン	᠎其他：甜瓜
その他 : シャチの乗り物	᠎其他：虎鲸的交通工具
ドリンク : トロピカルアイスティー	᠎饮料：热带冰茶
カジノアイテム : カードデッキ	᠎赌场项目：卡甲板
カジノアイテム : カードシューター	᠎赌场项目：纸牌射手
カジノアイテム : カード・クローバー・A	᠎赌场项目：卡·三叶草·A
カジノアイテム : カード・クローバー・2	᠎赌场项目：卡·三叶草·2
カジノアイテム : カード・クローバー・3	᠎赌场项目：卡·三叶草·3
カジノアイテム : カード・クローバー・4	᠎赌场项目：卡·三叶草·4
カジノアイテム : カード・クローバー・5	᠎赌场项目：卡·三叶草·5
カジノアイテム : カード・クローバー・6	᠎赌场项目：卡·三叶草·6
カジノアイテム : カード・クローバー・7	᠎赌场项目：卡·三叶草·7
カジノアイテム : カード・クローバー・8	᠎赌场项目：卡·三叶草·8
カジノアイテム : カード・クローバー・9	᠎赌场项目：卡·三叶草·9
カジノアイテム : カード・クローバー・10	᠎赌场项目：卡·三叶草·10
カジノアイテム : カード・クローバー・J	᠎赌场项目：卡·三叶草·J
カジノアイテム : カード・クローバー・Q	᠎赌场项目：卡·三叶草·Q
カジノアイテム : カード・クローバー・K	᠎赌场项目：卡·三叶草·K
カジノアイテム : カード・ダイヤ・A	᠎赌场项目：卡·钻石·A
カジノアイテム : カード・ダイヤ・2	᠎赌场项目：卡·钻石·2
カジノアイテム : カード・ダイヤ・3	᠎赌场项目：卡·钻石·3
カジノアイテム : カード・ダイヤ・4	᠎赌场项目：卡·钻石·4
カジノアイテム : カード・ダイヤ・5	᠎赌场项目：卡·钻石·5
カジノアイテム : カード・ダイヤ・6	᠎赌场项目：卡·钻石·6
カジノアイテム : カード・ダイヤ・7	᠎赌场项目：卡·钻石·7
カジノアイテム : カード・ダイヤ・8	᠎赌场项目：卡·钻石·8
カジノアイテム : カード・ダイヤ・9	᠎赌场项目：卡·钻石·9
カジノアイテム : カード・ダイヤ・10	᠎赌场项目：卡·钻石·10
カジノアイテム : カード・ダイヤ・J	᠎赌场项目：卡·钻石·J
カジノアイテム : カード・ダイヤ・Q	᠎赌场项目：卡、钻石、Q
カジノアイテム : カード・ダイヤ・K	᠎赌场项目：卡·钻石·K
カジノアイテム : カード・ハート・A	᠎赌场项目：卡·心A
カジノアイテム : カード・ハート・2	᠎赌场项目：卡·心·2
カジノアイテム : カード・ハート・3	᠎赌场项目：卡·心·3
カジノアイテム : カード・ハート・4	᠎赌场项目：卡片心·4
カジノアイテム : カード・ハート・5	᠎赌场项目：卡·心·5
カジノアイテム : カード・ハート・6	᠎赌场项目：卡·心·6
カジノアイテム : カード・ハート・7	᠎赌场项目：卡心·7
カジノアイテム : カード・ハート・8	᠎赌场项目：卡·心·8
カジノアイテム : カード・ハート・9	᠎赌场项目：卡·心·9
カジノアイテム : カード・ハート・10	᠎赌场项目：卡心·10
カジノアイテム : カード・ハート・J	᠎赌场项目：卡·心·J
カジノアイテム : カード・ハート・Q	᠎赌场项目：卡片心Q
カジノアイテム : カード・ハート・K	᠎赌场项目：卡片心K
カジノアイテム : カード・スペード・A	᠎赌场项目：卡片黑桃A
カジノアイテム : カード・スペード・2	᠎赌场项目：卡片黑桃2
カジノアイテム : カード・スペード・3	᠎赌场项目：卡片黑桃3
カジノアイテム : カード・スペード・4	᠎赌场项目：卡片黑桃4
カジノアイテム : カード・スペード・5	᠎赌场项目：卡片黑桃5
カジノアイテム : カード・スペード・6	᠎赌场项目：卡片黑桃6
カジノアイテム : カード・スペード・7	᠎赌场项目：卡片黑桃7
カジノアイテム : カード・スペード・8	᠎赌场项目：卡片黑桃8
カジノアイテム : カード・スペード・9	᠎赌场项目：卡片黑桃9
カジノアイテム : カード・スペード・10	᠎赌场项目：卡片黑桃10
カジノアイテム : カード・スペード・J	᠎赌场项目：卡片黑桃J
カジノアイテム : カード・スペード・Q	᠎赌场项目：卡片黑桃Q
カジノアイテム : カード・スペード・K	᠎赌场项目：卡片黑桃K
カジノアイテム : カード・JOKER	᠎赌场项目：卡·JOKER
カジノアイテム : カジノチップ10	᠎赌场项目：赌场筹码10
カジノアイテム : カジノチップ100	᠎赌场项目：赌场筹码100
カジノアイテム : カジノチップ1000	᠎赌场项目：赌场筹码1000
プレイアイテム : コンドーム開き	᠎播放项目：避孕套打开
プレイアイテム : コンドーム閉じ	᠎播放项目：避孕套关闭
プレイアイテム : コンドーム袋	᠎播放项目：安全套袋
プレイアイテム : ディルドボックス	᠎播放项目：迪尔德盒
プレイアイテム : ギロチン	᠎播放项目：吉罗汀
プレイアイテム : ギロチン台	᠎播放项目：吉罗丁台
プレイアイテム : ロングマット	᠎播放项目：长垫
プレイアイテム : ラブソファー	᠎播放项目：爱情沙发
プレイアイテム : 拘束台	᠎播放项目：约束台
プレイアイテム : 拘束台H型	᠎播放道具：约束台H型
プレイアイテム : 拘束台騎乗位用	᠎播放道具：约束台骑乘位用
プレイアイテム : スケベイス	᠎播放项目：素描
プレイアイテム : ソープマット	᠎播放项目：肥皂垫
プレイアイテム : 三角木馬	᠎播放项目：三角木马
パーティクル : 紙吹雪	᠎颗粒：纸暴风雪
パーティクル : キッチン用-水	᠎颗粒：厨房-水
パーティクル : キッチン用-泡	᠎颗粒：厨房-泡沫
パーティクル : キッチン用手元の泡	᠎颗粒：厨房手中的泡沫
パーティクル : キッチン用-湯気	᠎颗粒：厨房用-热气
パーティクル : キッチン用-湯気(黒)	᠎颗粒：厨房用-热气(黑色)
パーティクル : お風呂用ー湯気	᠎颗粒：洗澡用的热气
パーティクル : 空間-星	᠎粒子：空间-星
パーティクル : 空間-泡	᠎粒子：空间-泡沫
パーティクル : 空間-粉雪1	᠎颗粒：空间-粉雪1
パーティクル : 空間-粉雪2	᠎颗粒：空间-粉雪2
パーティクル : 空間-湯気	᠎粒子：空间-热气
パーティクル : 空間-吹き出す煙	᠎粒子：空间-吹出的烟雾
その他 : ねい人形	᠎其他：猫娃娃
その他 : ロボねい人形	᠎其他：机器人猫娃娃
その他 : メイドねい人形	᠎其他：女仆猫娃娃
その他 : ランス10・ハニー・赤	᠎其他：兰斯10·甜心·红
その他 : ランス10・ハニー・青	᠎其他：兰斯10·宝贝儿·蓝
その他 : ランス10・ハニー・緑	᠎其他：兰斯10·宝贝儿·绿
その他 : ランス10・ハニー・茶	᠎其他：兰斯10·宝贝儿茶
その他 : ビーチボール・ブルー	᠎其他：沙滩球蓝
その他 : ビーチボール・グリーン	᠎其他：沙滩球绿色
その他 : ビーチボール・レッド	᠎其他：沙滩球红
その他 : ビーチボール・イエロー	᠎其他：沙滩球黄
その他 : お祓い棒	᠎其他：除妖棒
グルメ : 月見団子	᠎美食：月见团子
その他 : ススキ	᠎其他：芒草
その他 : 藁人形	᠎其他：稻草娃娃
その他 : 藁人形（釘有り）	᠎其他：稻草娃娃(有钉子)
その他 : お守り	᠎其他：护身符
その他 : 竹帚	᠎其他：竹帚
その他 : スノーボード・青	᠎其他：滑雪板和蓝色
その他 : スノーボード・緑	᠎其他：滑雪板·绿色
その他 : スノーボード・赤	᠎其他：滑雪板·红色
その他 : スノーボード・黄	᠎其他：滑雪板、黄
その他 : 雪だるま・青	᠎其他：雪人·蓝色
その他 : 雪だるま・緑	᠎其他：雪人·绿色
その他 : 雪だるま・赤	᠎其他：雪人·红色
その他 : 雪だるま・黄	᠎其他：雪人、黄
その他 : 雪玉	᠎其他：雪球
その他 : 雪玉の山	᠎其他：雪球之山
その他 : 雪クマ親分	᠎其他：雪熊头目
道具 : 断界斧ゴルガンド・黒	᠎工具：断界斧戈尔甘多·黑
道具 : 断界斧ゴルガンド・金	᠎工具：断界斧戈尔甘多·金
道具 : 断界斧ゴルガンド・銀	᠎工具：断界斧戈尔甘多·银
道具 : 断界斧ゴルガンド・白	᠎工具：断界斧戈尔甘多·白
道具 : 創界杖サナラーク・黒	᠎道具：创界拐杖萨那拉克·黑
道具 : 創界杖サナラーク・金	᠎工具：创界拐杖萨纳拉克·金
道具 : 創界杖サナラーク・銀	᠎工具：创界拐杖萨那拉克·银
道具 : 創界杖サナラーク・白	᠎道具：创界拐杖萨那拉克·白
道具 : 錬界書アルマリリス・黒	᠎工具：炼界书阿尔马里里斯·黑
道具 : 錬界書アルマリリス・茶	᠎工具：炼界书阿尔马里里斯·茶
道具 : 錬界書アルマリリス・紫	᠎工具：炼界书阿尔马里里斯·紫
道具 : 錬界書アルマリリス・白	᠎工具：炼界书阿尔马里里斯·白
グルメ : マンガ肉	᠎美食：漫画肉
グルメ : 樽エール	᠎美食：桶装啤酒
その他 : キュロちゃん	᠎其他：小猫
道具 : ARウィンドウ	᠎工具：AR窗口
グルメ : チョコバナナ	᠎美食：巧克力香蕉
グルメ : イカ焼き	᠎美食：烤鱿鱼
グルメ : リンゴ飴	᠎美食：苹果糖
道具 : 水風船_黄	᠎工具：水气球_黄
道具 : 水風船_青	᠎工具：水气球_蓝色
道具 : 水風船_橙	᠎工具：水气球_橙
道具 : 水風船_桃	᠎工具：水气球_桃子
道具 : ばち	᠎道具：笨蛋
道具 : 祭うちわ_赤	᠎道具：节日团扇_红色
道具 : 祭うちわ_青	᠎道具：祭团扇_蓝色
道具 : クレープ屋台	᠎工具：薄饼摊位
道具 : クレープ屋台_夜	᠎道具：薄饼摊位_夜
道具 : ゴザ	᠎工具：芝麻
道具 : ゴザ_夜	᠎工具：芝麻_夜
道具 : くじ引き屋台	᠎工具：抽签摊位
道具 : くじ引き屋台_夜	᠎道具：抽签摊位_夜
道具 : ポテトフライ屋台	᠎工具：薯条摊位
道具 : ポテトフライ屋台_夜	᠎工具：薯条摊位_夜
道具 : りんごあめ屋台	᠎道具：苹果糖摊位
道具 : りんごあめ屋台_夜	᠎道具：苹果糖摊位_夜
道具 : 射的屋台	᠎工具：射手摊位
道具 : 射的屋台_夜	᠎道具：射手摊位_夜
道具 : たこ焼き屋台	᠎工具：章鱼烧摊位
道具 : たこ焼き屋台_夜	᠎道具：章鱼烧摊_夜
道具 : 焼きそば屋台	᠎道具：炒面摊位
道具 : 焼きそば屋台_夜	᠎道具：炒面摊位_夜
道具 : ビニールプール	᠎工具：塑料游泳池
道具 : ビニールプール・水入り	᠎工具：塑料游泳池和水
道具 : 七輪	᠎工具：七轮
グルメ : 焼いたサンマ	᠎美食：烤的秋刀鱼
グルメ : 焼いたトウモロコシ	᠎美食：烤玉米
その他 : 冥王弾・青	᠎其他：冥王弹·青
その他 : 冥王弾・緑	᠎其他：冥王弹·绿
その他 : 冥王弾・紫	᠎其他：冥王弹·紫
その他 : 冥王弾・赤	᠎其他：冥王弹·赤
グルメ : カットスイカ	᠎美食：切西瓜
グルメ : ラムネ	᠎美食：拉姆尼
グルメ : 弁当	᠎美食：盒饭
道具 : ろうそく	᠎工具：蜡烛
道具 : 4枚のカード	᠎工具：4张卡片
道具 : 1枚のカード	᠎工具：一张卡片
グルメ : シャンパン	᠎美食：香槟
グルメ : 中華料理	᠎美食：中餐
道具 : ハタキ	᠎工具：哈塔基
グルメ : もやし炒め	᠎美食：炒豆芽
グルメ : もやし炒め(空)	᠎美食：炒豆芽(空)
道具 : シルクハット	᠎工具：礼帽
道具 : 鳩入りシルクハット	᠎道具：放鸽子的礼帽
グルメ : アクアパッツァ(銀トレー)	᠎美食：阿克阿帕扎(银托盘)
グルメ : オムライス(銀トレー)	᠎美食：蛋包饭(银托盘)
グルメ : ステーキ	᠎美食：牛排
グルメ : SUSHI	᠎美食：SUSHI
道具 : VRコントローラー	᠎工具：VR控制器
道具 : 雑巾A	᠎工具：抹布A
道具 : 雑巾B	᠎工具：抹布B
グルメ : クレープ	᠎美食：薄饼
道具 : 紙袋	᠎工具：纸袋
プレイアイテム : パンダさんラブバイブ	᠎播放道具：熊猫可爱的小酒杯
プレイアイテム : ゾウさんラブバイブ	᠎播放道具：大象可爱的小宝贝
プレイアイテム : リスさんラブバイブ	᠎播放道具：松鼠可爱的小宝贝
グルメ : ハンバーガー盛り合わせ	᠎美食：汉堡包拼盘
グルメ : 焼鳥盛り合わせ	᠎美食：烤鸡拼盘
道具 : ダンボール	᠎工具：纸箱
道具 : 水族館の椅子(大)	᠎工具：水族馆椅子(大)
道具 : 水族館の椅子(小)	᠎工具：水族馆椅子(小)
道具 : ハメ撮りカメラ	᠎工具：暗影相机
グルメ : バレンタインチョコレート	᠎美食：情人节巧克力
道具 : 小テント（昼）	᠎工具：小帐篷(中午)
道具 : 小テント（夕方）	᠎工具：小帐篷(晚上)
道具 : 小テント（夜）	᠎工具：小帐篷(晚上)
道具 : 大テント（昼）	᠎工具：大帐篷(中午)
道具 : 大テント（夕方）	᠎工具：大帐篷(晚上)
道具 : 大テント（夜）	᠎工具：大帐篷(晚上)
道具 : 釣り竿	᠎工具：钓鱼竿
グルメ : ヒメマス	᠎美食：希梅茅斯
グルメ : マス	᠎美食：鳟鱼
グルメ : マスの塩焼き	᠎美食：盐烤鳟鱼
その他 : 松ぼっくり	᠎其他：松树。
その他 : ヌーディストキャンプ看板	᠎其他：裸露露营招牌
グルメ : たこ	᠎美食：风筝
グルメ : たこ焼き	᠎美食：章鱼烧
グルメ : 豚汁	᠎美食：猪肉汤
その他 : 便箋	᠎其他：信纸
プレイアイテム : バイブEX	᠎播放项目：拜布EX
プレイアイテム : アナルバイブEX	᠎播放项目：阿纳尔拜布EX
道具 : クリスマスツリー	᠎工具：圣诞树
道具 : ボールオーナメント・青	᠎工具：球装饰品蓝色
道具 : ボールオーナメント・金	᠎工具：球装饰品和黄金
道具 : ボールオーナメント・緑	᠎工具：球装饰品·绿色
道具 : ボールオーナメント・桃	᠎工具：球装饰品·桃子
道具 : ボールオーナメント・赤	᠎工具：球装饰品红色
道具 : ボールオーナメント・銀	᠎工具：球装饰品银
道具 : ベル・銀	᠎工具：贝尔·银
道具 : ベル・金	᠎工具：贝尔·金
道具 : 綿	᠎工具：棉花
道具 : スター	᠎道具：明星
道具 : スターオーナメント・金	᠎工具：明星装饰品和黄金
道具 : スターオーナメント・銀	᠎工具：星际装饰品银
道具 : クリスマスライト	᠎工具：圣诞灯光
道具 : クリスマスリボン・チェック柄	᠎工具：圣诞丝带/格子图案
道具 : クリスマンリボン・赤	᠎工具：克里斯曼丝带·红色
グルメ : 恵方巻	᠎美食：惠方卷
道具 : 雛人形・赤	᠎工具：娃娃/红色
道具 : 雛人形・青	᠎工具：娃娃/蓝色
道具 : 雛人形・台座	᠎工具：娃娃/底座
グルメ : ホワイトデークッキー・缶入り	᠎美食：白色饼干罐装
グルメ : ホワイトデークッキー・皿乗せ	᠎美食：白日饼干盘子
グルメ : ホワイトデークッキー	᠎美食：白色甜饼
グルメ : わたあめ	᠎美食：我的糖
グルメ : 瓶ラムネ	᠎美食：瓶拉姆奈
グルメ : フランクフルト	᠎美食：法兰克福
その他 : キャラメル	᠎其他：焦糖
その他 : 招き猫	᠎其他：招财猫
その他 : ミニクマ親分	᠎其他：迷你熊头目
その他 : ミニクマ親分・黒	᠎其他：迷你熊头目·黑
その他 : ゾウの貯金箱・青	᠎其他：大象的储蓄罐·蓝色
その他 : ゾウの貯金箱・ピンク	᠎其他：大象的储蓄罐、粉红色
その他 : 土屋よし子SDブロマイド	᠎其他：土屋良子SD溴
その他 : 土屋よし子ブロマイド	᠎其他：土屋良子布罗迈德
その他 : 水無月ゆめブロマイド	᠎其他：水无月梦溴
その他 : 純金のトロフィー	᠎其他：纯金奖杯
その他 : 銀のトロフィー	᠎其他：银奖杯
その他 : ホワイトバイブのパッケージ	᠎其他：白色伟哥包装
その他 : COM3D2のパッケージ	᠎其他：COM3D2封装
その他 : CM3D2のパッケージ	᠎其他：CM3D2封装
その他 : かのつく2のパッケージ	᠎其他：附带的2包
その他 : ネコのぬいぐるみ・白	᠎其他：猫的毛绒玩具·白色
その他 : ネコのぬいぐるみ・茶	᠎其他：猫的玩偶·茶
その他 : イノシシのぬいぐるみ	᠎其他：野猪毛绒玩具
その他 : クロビッツ・赤	᠎其他：克罗维茨·红
その他 : クロビッツ・ピンク	᠎其他：克罗维茨粉红色
その他 : クロビッツ・緑	᠎其他：克罗维茨绿色
その他 : クロビッツ・黄	᠎其他：克洛维茨·黄
その他 : 金魚・赤	᠎其他：金鱼·红色
その他 : 金魚・黒	᠎其他：金鱼·黑
その他 : 金魚・黄	᠎其他：金鱼·黄
その他 : 金魚・白とオレンジ	᠎其他：金鱼、白色和橙色
その他 : デメキン	᠎其他：德梅金
その他 : ミドリガメ	᠎其他：绿龟
その他 : ウニ	᠎其他：海胆
その他 : 金魚鉢	᠎其他：鱼缸
その他 : 金魚鉢・草入り	᠎其他：金鱼盆·草装
その他 : 屋内水槽	᠎其他：室内水族馆
その他 : 金魚鉢・金魚入り	᠎其他：金鱼缸·金鱼装
その他 : 屋内水槽・金魚入り	᠎其他：室内水槽·金鱼
その他 : 赤鬼のお面	᠎其他：赤鬼的脸
その他 : 青鬼のお面	᠎其他：青鬼的脸
その他 : 狐のお面・黒	᠎其他：狐狸的脸·黑色
その他 : 狐のお面・白	᠎其他：狐狸的脸·白色
その他 : ひょっとこのお面	᠎其他：意外的脸
その他 : おかめのお面	᠎其他：缸的脸
その他 : エンパイアヒーローのお面	᠎其他：帝国英雄的脸
その他 : ハロウィンキャンドルA	᠎其他：万圣节蜡烛A
その他 : ハロウィンキャンドルB	᠎其他：万圣节蜡烛B
その他 : ハロウィンキャンドルC	᠎其他：万圣节蜡烛C
その他 : ハロウィンキャンドルD	᠎其他：万圣节蜡烛D
その他 : ハロウィンキャンドルE	᠎其他：万圣节蜡烛E
グルメ : ハロウィンカップケーキ	᠎美食：万圣节蛋糕
その他 : ハロウィンカボチャ	᠎其他：万圣节南瓜
その他 : 魔女クマ親分	᠎其他：女巫熊头目
その他 : ねそべりくまさん	᠎其他：Nesobirikuma
ドリンク : クラシカルワイン	᠎饮料：经典葡萄酒
その他 : ハネムーンローズ	᠎其他：蜜月玫瑰
その他 : ビーチパラソル	᠎其他：沙滩遮阳伞
グルメ : フルーツタルト	᠎美食：水果馅饼
グルメ : サンドイッチバスケット	᠎美食：三明治篮子
ドリンク : フルーツカクテル	᠎饮料：水果鸡尾酒
ドリンク : フルーツカクテル（空）	᠎饮料：水果鸡尾酒(空)
その他 : ビーチマット	᠎其他：海滩垫
その他 : ハネムーンブーケ	᠎其他：蜜月花束
その他 : 指輪ケース	᠎其他：戒指盒
その他 : 思い出のぬいぐるみ	᠎其他：回忆的毛绒玩具
その他 : コアクマン	᠎其他：科克曼
その他 : タテジマキンチャクダイ	᠎其他：塔特吉马金查克代
その他 : ハタタテダイ	᠎其他：哈塔特代
その他 : メガネモチノウオ	᠎其他：Meganemotinoo
その他 : スズキ	᠎其他：铃木
その他 : マヒマヒ	᠎其他：向日葵
その他 : マグロ	᠎其他：金枪鱼
グルメ : ポワソンクリュ	᠎美食：Powasonchu
グルメ : マヒマヒのポワレ	᠎美食：向日葵的波瓦莱
グルメ : アクアパッツァ（切り身）	᠎美食：阿克阿帕扎(切身)
その他 : アイアンねいデン	᠎其他：铁质猫
その他 : 豚の貯金箱	᠎其他：猪储蓄罐
その他 : アンティークブック	᠎其他：古董书
その他 : 灰皿	᠎其他：烟灰缸
その他 : タバコ	᠎其他：香烟
その他 : シケモク	᠎其他：西凯莫克
その他 : 吸いかけ	᠎其他：吸干
その他 : 薬ゴミ	᠎其他：药物垃圾
その他 : コンドームの空箱	᠎其他：避孕套的空箱
その他 : エンパイアストロング（凹）	᠎其他：帝国(凹)
その他 : エナジードリンク（凹）	᠎其他：能量饮料(凹)
その他 : エンパイアストロング	᠎其他：帝国
その他 : エナジードリンク	᠎其他：能量饮料
その他 : ゴミ袋A	᠎其他：垃圾袋A
その他 : ゴミ袋B	᠎其他：垃圾袋B
その他 : 悪い注射器	᠎其他：坏注射器
その他 : シコティッシュボックス	᠎其他：花色盒子
その他 : シコティッシュA	᠎其他：湿纸巾A
その他 : シコティッシュB	᠎其他：湿纸巾B
その他 : 悪い酒	᠎其他：坏酒
その他 : のんだくれくま	᠎其他：无忧无虑的熊
その他 : ノブレスさま	᠎其他：诺夫雷斯先生
グルメ : 唐揚げ	᠎美食：炸鸡块
グルメ : 煮込み	᠎美食：炖
グルメ : だし巻き卵	᠎美食：鸡蛋卷
グルメ : 徳利とお猪口	᠎美食：德利和猪口
グルメ : 串揚げ	᠎美食：炸串
その他 : あつあげおじさん	᠎其他：Atsuke叔叔
プレイアイテム : 拘束椅子	᠎播放项目：约束椅子
プレイアイテム : データデバイス	᠎播放项目：数据设备
プレイアイテム : 電マアーム	᠎播放项目：电动机械臂
プレイアイテム : バイブアーム	᠎播放项目：双臂
プレイアイテム : クリ責めアーム	᠎播放道具：克利怪手臂
プレイアイテム : アームベース	᠎播放项目：基于手臂
棚Ａ(小)	᠎货架A(小)
棚Ａ(大)	᠎货架A(大)
小窓	᠎小窗户，小窗户
デスクＡ	᠎办公桌A：
椅子Ａ	᠎椅子A(A)
PC	᠎PC(电脑)
ファイル	᠎文件
電話	᠎电话
仕切りＡ	᠎分区A(分区)
掛け時計	᠎挂钟(挂钟)
電灯	᠎电灯(电灯)
ブラインド	᠎百叶窗(百叶窗)
バスタブ(猫足)	᠎浴缸(猫足)
小窓(曇り)	᠎小窗户(多云)
洗面台Ａ	᠎洗脸台A.
鏡Ａ	᠎镜子A(镜子)
タオルかけ	᠎毛巾吗？
小物置き	᠎小物件的摆放
シャンプー	᠎洗发水
リンス	᠎护发素(护发素)
あひる	᠎鸭子(鸭子)
観葉植物Ａ	᠎观叶植物A
風呂椅子	᠎浴椅，浴椅
洗面器	᠎洗脸盆(盆)
風呂場照明	᠎浴室照明(照明)
ステンドグラスＡ	᠎彩色玻璃A
像	᠎雕像
教壇	᠎讲台(讲台)
椅子(装花付き)	᠎椅子(带花)
生け花	᠎插花(插花)
燭台	᠎烛台(烛台)
絵画	᠎画(画)
照明(燭台)	᠎照明(烛台)
本(聖書)	᠎书(圣经)
パイプオルガンＡ	᠎管风琴A.
パイプオルガン椅子Ａ	᠎管风琴椅子A
キャンドル	᠎蜡烛(蜡烛)
煉瓦	᠎砖(砖)
丸カーペット	᠎圆毯，地毯
ストーブ	᠎炉子(炉子)
薪	᠎柴火
ピアノ	᠎钢琴
ピアノ椅子	᠎钢琴椅；钢琴椅
椅子(スツール)	᠎椅子(凳子)
ロッキングチェア	᠎摇椅(摇椅)
植木鉢	᠎花盆(花盆)
植物インテリア	᠎植物室内装饰.
ワイン瓶	᠎酒瓶(酒瓶)
ヤカン	᠎Yakan(Yakan)
照明(ランプ)	᠎照明(灯)
中世窓	᠎中世纪的窗户
ソファＡ	᠎沙发A-A
クッションＡ	᠎靠垫A.
窓Ａ	᠎窗A(A)
大窓	᠎大窗户，大窗户
洋机	᠎洋机(洋机)
コーヒーカップ	᠎咖啡杯(咖啡杯)
テレビ台	᠎电视台(台)
テレビ	᠎电视
観葉植物Ｂ	᠎观叶植物B
カーペットＡ	᠎地毯A：地毯
エアコン	᠎空调(空调)
洋照明	᠎洋照明；洋照明
カーテンＡ	᠎窗帘A(窗帘)
畳	᠎榻榻米(榻榻米)
半畳	᠎半张榻榻米
障子	᠎拉门(拉门)
襖	᠎推拉门(隔扇)
座布団	᠎坐垫(坐垫)
和机	᠎和机(机)
掛け軸	᠎挂轴(挂轴)
生け花Ｂ	᠎插花B.
湯呑み	᠎茶杯(茶杯)
茶請け	᠎茶包(茶)
和照明	᠎和照明(照明)
欄間	᠎栏间(栏间)
回り縁	᠎绕行的边缘.
長押	᠎长按下
執務椅子Ａ	᠎办公椅子A
執務机Ａ	᠎办公办公桌A
ソファＢ	᠎沙发B B
ガラス机	᠎玻璃桌子(桌子)
出窓	᠎出窗
カーテンＢ	᠎窗帘B-B
レースカーテン	᠎花边窗帘；花边窗帘
棚Ｂ	᠎架子B(架)
棚Ｃ	᠎架子C(架C)
花瓶	᠎花瓶
モニター	᠎监视器(监视器)
伝言板Ａ	᠎留言板A.
ブラックボードＡ	᠎黑板A-A
カーペットＢ	᠎地毯B：地毯
シャンデリアＡ	᠎吊灯A A
ペン立てＡ	᠎笔架A.
写真立て	᠎照片立下.
照明	᠎照明(照明)
腰壁Ａ	᠎腰壁A.
腰壁Ｂ	᠎腰壁B-B
壁Ａ	᠎墙A(墙)
壁Ｂ	᠎墙B(墙)
壁Ｃ	᠎墙C(C)
コーニスＡ	᠎科尼斯A-A
段ボール	᠎瓦楞纸板.
椅子Ｂ	᠎椅子B-B
椅子Ｃ	᠎椅子C-C
椅子Ｄ	᠎椅子D：
机Ａ	᠎桌子A(A)
机Ｂ	᠎桌子B(B)
机Ｃ	᠎桌子C(C)
フライパン	᠎平底锅(平底锅)
ミキサー	᠎搅拌机(搅拌机)
皿	᠎碟子
ショーケースＡ（中身あり）	᠎陈列柜A(有内容)
ショーケースＡ	᠎陈列柜A：A
ショーケースＢ（中身あり）	᠎陈列柜B(有内容)
ショーケースＢ	᠎陈列柜B：B
仕切りＢ	᠎分区B(分区B)
電灯Ａ	᠎电灯A(电灯)
電灯Ｂ	᠎电灯B(电灯B)
観葉植物Ｃ	᠎观叶植物C
本棚（中身あり）	᠎书架(里面有)
本棚	᠎书架上的书架
シンク	᠎水槽(信宿)
大鍋	᠎大锅(锅)
食器洗い機	᠎洗碗机，洗碗机
食器戸棚	᠎餐具橱柜.
戸棚	᠎橱柜(橱柜)
フライヤー	᠎弗莱尔(Flyer)
シンク台	᠎水槽台(水槽)
スパイス	᠎香料(香料)
冷蔵庫	᠎冰箱(冰箱)
コンロ	᠎炉灶(炉灶)
ゴミ箱Ａ	᠎垃圾桶A.
調理器具用金属棚（器具あり）	᠎炊具用金属架(有器具)
調理器具用金属棚	᠎炊具的金属货架
天井ライト	᠎天花板上的灯
ダクト	᠎风管(管道)
壁照明Ａ	᠎墙壁照明A
浴槽	᠎浴缸，浴缸
置き照明	᠎放置的照明
棚Ｄ	᠎架子D(架)
棚Ｅ	᠎架子E(架)
棚Ｆ	᠎架子F(架)
花Ａ	᠎花A(A)
花Ｂ	᠎花B：花
観葉植物Ｄ	᠎观叶植物D
仕切りＣ	᠎隔间C
ライトスタンド	᠎灯支架(灯)
マット	᠎马特(Matt)
スケベ椅子	᠎色皮的椅子。
カーペットＣ（小）	᠎地毯C(小)
カーペットＣ（大）	᠎地毯C(大)
ベッド	᠎床上的床
机Ｄ	᠎桌子D(桌子)
ソファＣ	᠎沙发C C
洗面台Ｂ	᠎洗脸台B.
壁照明Ｂ	᠎墙壁照明B
シャンデリアＢ	᠎吊灯B B
腰壁Ｃ	᠎腰壁C-C
腰壁Ｄ	᠎腰间墙D
豪華な壁	᠎豪华的墙.
豪華な壁＋腰壁Ｄ	᠎豪华墙+腰壁D
オフィスドア（開）	᠎办公室门(开)
オフィスドア（閉）	᠎办公室门(关闭)
バスルームドア（開）	᠎浴室门(开)
バスルームドア（閉）	᠎浴室门(关闭)
教会扉（開）	᠎教堂门(开)
教会扉（閉）	᠎教堂门(关闭)
木造扉（開）	᠎木门(开)
木造扉（閉）	᠎木门(关闭)
洋風ドア（開）	᠎西式门(开)
洋風ドア（閉）	᠎西式门(关闭)
執務室扉（開）	᠎办公室门(开)
執務室扉（閉）	᠎办公室门(关闭)
カフェドア（開）	᠎咖啡屋(开)
カフェドア（閉）	᠎咖啡屋(关闭)
キッチンドア（開）	᠎厨房门(开)
キッチンドア（閉）	᠎厨房门(关闭)
ソープランド扉（開）	᠎索普乐园门(开)
ソープランド扉（閉）	᠎索普乐园门(关闭)
ハート柄クッション	᠎心柄垫垫
掛布団	᠎被子(被子)
敷布団	᠎床垫(床垫)
ゲーム機	᠎游戏机(游戏机)
ゲームコントローラー	᠎游戏控制器(控制器)
